biot,thiele,surface_concentration,effectiveness_overall
0.1,0.1,0.967762727784295,0.9671181664711515
0.1,1.0,0.24211006543691982,0.2273669803689241
0.1,5.0,0.02438754330970221,0.011707349480283576
0.1,20.0,0.005235602094240838,0.0007460732984293195
1.0,0.1,0.9966799462495581,0.9960161251325688
1.0,1.0,0.7615941559557649,0.7152175321327056
1.0,5.0,0.19998184085251902,0.0960021790976977
1.0,20.0,0.05,0.007125
10.0,0.1,0.9996669996036625,0.9990011890124176
10.0,1.0,0.9696466387602226,0.9106008371933202
10.0,5.0,0.7142625507557799,0.34288493909306395
10.0,20.0,0.3448275862068966,0.04913793103448277
100.0,0.1,0.9999666899773406,0.999300679782603
100.0,1.0,0.9968794156750576,0.9361752974827451
100.0,5.0,0.9615342638874996,0.4615888333500052
100.0,20.0,0.8403361344537815,0.11974789915966386
