diffusivity_ratio,henry,interface_value_phase1,interface_value_phase2
0.1,0.5,0.6125741132772068,1.2251482265544136
0.1,1.0,0.7597469266479578,0.7597469266479578
0.1,2.0,0.8634729405041857,0.43173647025209283
0.1,5.0,0.9405165128480245,0.1881033025696049
1.0,0.5,0.3333333333333333,0.6666666666666666
1.0,1.0,0.5,0.5
1.0,2.0,0.6666666666666666,0.3333333333333333
1.0,5.0,0.8333333333333334,0.16666666666666666
10.0,0.5,0.1365270594958143,0.2730541189916286
10.0,1.0,0.2402530733520421,0.2402530733520421
10.0,2.0,0.38742588672279304,0.19371294336139652
10.0,5.0,0.6125741132772068,0.12251482265544136
