diffusivity_ratio,henry,flux,interface_value_phase1,interface_value_phase2
0.1,0.5,0.16666666666666666,0.8333333333333334,1.6666666666666667
0.1,1.0,0.09090909090909091,0.9090909090909091,0.9090909090909091
0.1,2.0,0.047619047619047616,0.9523809523809523,0.47619047619047616
0.1,5.0,0.0196078431372549,0.9803921568627451,0.19607843137254902
1.0,0.5,0.6666666666666666,0.33333333333333337,0.6666666666666667
1.0,1.0,0.5,0.5,0.5
1.0,2.0,0.3333333333333333,0.6666666666666667,0.33333333333333337
1.0,5.0,0.16666666666666666,0.8333333333333334,0.16666666666666669
10.0,0.5,0.9523809523809523,0.04761904761904767,0.09523809523809534
10.0,1.0,0.9090909090909091,0.09090909090909094,0.09090909090909094
10.0,2.0,0.8333333333333334,0.16666666666666663,0.08333333333333331
10.0,5.0,0.6666666666666666,0.33333333333333337,0.06666666666666668
