time,r_over_R,r,interface_radius,similarity_radius,phase,temperature
0.1,0,0.0,0.3794733192202055,0.0,solid,0.0
0.1,0.5,0.18973665961010275,0.3794733192202055,0.6,solid,0.0
0.1,1.0,0.3794733192202055,0.3794733192202055,1.2,solid,0.0
0.1,1.05,0.3984469851812158,0.3794733192202055,1.26,liquid,-0.08624759166019755
0.1,1.25,0.4743416490252569,0.3794733192202055,1.5,liquid,-0.3663376474702523
0.1,1.5,0.5692099788303082,0.3794733192202055,1.7999999999999998,liquid,-0.6055497298118557
0.1,2.0,0.758946638440411,0.3794733192202055,2.4,liquid,-0.8579164043121286
0.1,2.5,0.9486832980505138,0.3794733192202055,3.0,liquid,-0.9542105778045701
0.1,3.0,1.1384199576606164,0.3794733192202055,3.5999999999999996,liquid,-0.9866223542286146
0.25,0,0.0,0.6,0.0,solid,0.0
0.25,0.5,0.3,0.6,0.6,solid,0.0
0.25,1.0,0.6,0.6,1.2,solid,0.0
0.25,1.05,0.63,0.6,1.26,liquid,-0.08624759166019755
0.25,1.25,0.75,0.6,1.5,liquid,-0.3663376474702523
0.25,1.5,0.8999999999999999,0.6,1.7999999999999998,liquid,-0.6055497298118557
0.25,2.0,1.2,0.6,2.4,liquid,-0.8579164043121286
0.25,2.5,1.5,0.6,3.0,liquid,-0.9542105778045701
0.25,3.0,1.7999999999999998,0.6,3.5999999999999996,liquid,-0.9866223542286146
0.5,0,0.0,0.848528137423857,0.0,solid,0.0
0.5,0.5,0.4242640687119285,0.848528137423857,0.6,solid,0.0
0.5,1.0,0.848528137423857,0.848528137423857,1.2,solid,0.0
0.5,1.05,0.8909545442950499,0.848528137423857,1.26,liquid,-0.08624759166019755
0.5,1.25,1.0606601717798212,0.848528137423857,1.4999999999999998,liquid,-0.3663376474702522
0.5,1.5,1.2727922061357855,0.848528137423857,1.7999999999999998,liquid,-0.6055497298118557
0.5,2.0,1.697056274847714,0.848528137423857,2.4,liquid,-0.8579164043121286
0.5,2.5,2.1213203435596424,0.848528137423857,2.9999999999999996,liquid,-0.9542105778045701
0.5,3.0,2.545584412271571,0.848528137423857,3.5999999999999996,liquid,-0.9866223542286146
1.0,0,0.0,1.2,0.0,solid,0.0
1.0,0.5,0.6,1.2,0.6,solid,0.0
1.0,1.0,1.2,1.2,1.2,solid,0.0
1.0,1.05,1.26,1.2,1.26,liquid,-0.08624759166019755
1.0,1.25,1.5,1.2,1.5,liquid,-0.3663376474702523
1.0,1.5,1.7999999999999998,1.2,1.7999999999999998,liquid,-0.6055497298118557
1.0,2.0,2.4,1.2,2.4,liquid,-0.8579164043121286
1.0,2.5,3.0,1.2,3.0,liquid,-0.9542105778045701
1.0,3.0,3.5999999999999996,1.2,3.5999999999999996,liquid,-0.9866223542286146
