time,r_over_R,r,concentration
1e-05,1.0,0.5,0.2
1e-05,1.1,0.55,0.0018803818781390105
1e-05,1.2,0.6,4.871477930206114e-08
1e-05,1.5,0.75,1.670244751479192e-38
1e-05,2.0,1.0,5.22424127578738e-146
1e-05,3.0,1.5,0.0
0.0001,1.0,0.5,0.2
0.0001,1.1,0.55,0.07589889583911608
0.0001,1.2,0.6,0.017476952239651528
0.0001,1.5,0.75,6.704084242081647e-06
0.0001,2.0,1.0,5.11905693973531e-17
0.0001,3.0,1.5,2.5381112743336433e-60
0.001,1.0,0.5,0.2
0.001,1.1,0.55,0.1450233413659508
0.001,1.2,0.6,0.10134442757034438
0.001,1.5,0.75,0.026641563830785617
0.001,2.0,1.0,0.0010342100329764634
0.001,3.0,1.5,1.9485911720824388e-08
0.01,1.0,0.5,0.2
0.01,1.1,0.55,0.17006786585694708
0.01,1.2,0.6,0.1451949700186458
0.01,1.5,0.75,0.09135467862329572
0.01,2.0,1.0,0.041744392711513895
0.01,3.0,1.5,0.00699078089586061
