record,time_or_r_over_R,value
B_M,0.052631578947368425,
K,1.0258658877510109e-08,
t_life,97.47862873111842,
d2_history,0.0,1e-06
mdot_history,0.0,8.057131841317367e-09
d2_history,9.747862873111842,9.000000000000001e-07
mdot_history,9.747862873111842,7.643666408048768e-09
d2_history,24.369657182779605,7.500000000000001e-07
mdot_history,24.369657182779605,6.97768085622133e-09
d2_history,48.73931436555921,5e-07
mdot_history,48.73931436555921,5.6972525619095636e-09
d2_history,73.10897154833881,2.5e-07
mdot_history,73.10897154833881,4.028565920658683e-09
d2_history,87.73076585800658,1.0000000000000001e-07
mdot_history,87.73076585800658,2.5478888026829227e-09
Y_profile,1.0,0.04999999999999993
Y_profile,1.25,0.040204113647960726
Y_profile,1.5,0.03361747021845396
Y_profile,2.0,0.025320565519103555
Y_profile,3.0,0.016952427508441503
Y_profile,5.0,0.010206218313011495
Y_profile,10.0,0.005116196891823743
