time,x,interface_position,phase,temperature
0.0,0.0,0.0,solid,0.0
0.0,0.05,0.0,active,-0.048770575499285984
0.0,0.1,0.0,active,-0.09516258196404048
0.0,0.15000000000000002,0.0,active,-0.1392920235749422
0.0,0.2,0.0,active,-0.18126924692201818
0.0,0.25,0.0,active,-0.22119921692859512
0.0,0.30000000000000004,0.0,active,-0.2591817793182821
0.0,0.35000000000000003,0.0,active,-0.29531191028128656
0.0,0.4,0.0,active,-0.3296799539643607
0.0,0.45,0.0,active,-0.36237184837822667
0.0,0.5,0.0,active,-0.3934693402873666
0.05,0.0,0.05,solid,0.0
0.05,0.05,0.05,solid,0.0
0.05,0.1,0.05,active,-0.048770575499285984
0.05,0.15000000000000002,0.05,active,-0.09516258196404048
0.05,0.2,0.05,active,-0.1392920235749422
0.05,0.25,0.05,active,-0.18126924692201818
0.05,0.30000000000000004,0.05,active,-0.22119921692859512
0.05,0.35000000000000003,0.05,active,-0.2591817793182821
0.05,0.4,0.05,active,-0.29531191028128656
0.05,0.45,0.05,active,-0.3296799539643607
0.05,0.5,0.05,active,-0.36237184837822667
0.1,0.0,0.1,solid,0.0
0.1,0.05,0.1,solid,0.0
0.1,0.1,0.1,solid,0.0
0.1,0.15000000000000002,0.1,active,-0.048770575499285984
0.1,0.2,0.1,active,-0.09516258196404048
0.1,0.25,0.1,active,-0.1392920235749422
0.1,0.30000000000000004,0.1,active,-0.18126924692201818
0.1,0.35000000000000003,0.1,active,-0.22119921692859512
0.1,0.4,0.1,active,-0.2591817793182821
0.1,0.45,0.1,active,-0.29531191028128656
0.1,0.5,0.1,active,-0.3296799539643607
0.2,0.0,0.2,solid,0.0
0.2,0.05,0.2,solid,0.0
0.2,0.1,0.2,solid,0.0
0.2,0.15000000000000002,0.2,solid,0.0
0.2,0.2,0.2,solid,0.0
0.2,0.25,0.2,active,-0.048770575499285984
0.2,0.30000000000000004,0.2,active,-0.09516258196404048
0.2,0.35000000000000003,0.2,active,-0.1392920235749422
0.2,0.4,0.2,active,-0.18126924692201818
0.2,0.45,0.2,active,-0.22119921692859512
0.2,0.5,0.2,active,-0.2591817793182821
