id,variant,xname,x,grid,ranks,dim,N,Da,n_per_layer,mg_iters,mg_res,area,area_rel,Sh,Sh_exact,rel_err,order,F,F_exact,id_sum,id_avg
B-014,G2a,Da,0,multigrid,16,2,32,0,19,19,3.383e-11,2,0.000e+00,9.84481236585,9.86960440109,2.511958e-03,,2.53040591689,2.55144878183,8.247e-03,1.373e-02
B-014,G2a,Da,0,multigrid,16,2,64,0,39,19,4.084e-11,2,0.000e+00,9.86395309479,9.86960440109,5.725970e-04,2.1332,2.48033968364,2.48602701819,2.288e-03,4.149e-03
B-014,G2a,Da,0,multigrid,16,2,128,0,77,19,9.079e-11,2,0.000e+00,9.8681890829,9.86960440109,1.434017e-04,1.9975,2.51672610567,2.51831308336,6.302e-04,1.189e-03
B-014,G2a,Da,1,multigrid,16,2,32,1,19,18,9.455e-11,2,0.000e+00,9.84478486434,9.86960440109,2.514745e-03,,2.73568561367,2.75803683007,8.104e-03,1.330e-02
B-014,G2a,Da,1,multigrid,16,2,64,1,39,19,2.366e-11,2,0.000e+00,9.86394771145,9.86960440109,5.731425e-04,2.1334,2.68126746906,2.68731793699,2.251e-03,4.020e-03
B-014,G2a,Da,1,multigrid,16,2,128,1,77,19,5.939e-11,2,0.000e+00,9.86818811053,9.86960440109,1.435002e-04,1.9978,2.72052533744,2.72221816994,6.219e-04,1.151e-03
B-014,G2a,Da,10,multigrid,16,2,32,10,6.00833,16,7.312e-11,2,0.000e+00,9.84455423374,9.86960440109,2.538113e-03,,4.36022427015,4.39702607675,8.370e-03,1.115e-02
B-014,G2a,Da,10,multigrid,16,2,64,10,12.3329,17,2.713e-11,2,0.000e+00,9.86390088023,9.86960440109,5.778875e-04,2.1349,4.27430187214,4.28428181837,2.329e-03,3.359e-03
B-014,G2a,Da,10,multigrid,16,2,128,10,24.3495,27,5.496e-11,2,0.000e+00,9.86817953655,9.86960440109,1.443690e-04,2.0010,4.33710696853,4.33992184199,6.486e-04,9.599e-04
B-014,G2a,Da,100,multigrid,16,2,32,100,1.9,14,6.646e-11,2,0.000e+00,9.84364142337,9.86960440109,2.630600e-03,,13.7173601076,13.9383253536,1.585e-02,9.319e-03
B-014,G2a,Da,100,multigrid,16,2,64,100,3.9,18,4.759e-11,2,0.000e+00,9.86366364084,9.86960440109,6.019249e-04,2.1277,13.5238917974,13.5809323958,4.200e-03,2.800e-03
B-014,G2a,Da,100,multigrid,16,2,128,100,7.7,20,5.309e-11,2,0.000e+00,9.86813222437,9.86960440109,1.491627e-04,2.0127,13.7417907734,13.7573081412,1.128e-03,7.929e-04
